# omega0=0.689, alpha=0.2
# theta0=0.4, theta_dot0=0
# t_start=0, t_end=100, h=0.00911928
#   t          x(t)                 v(t)       
5.623861217616304e+01 5.991401496430937e-01 7.447771724326233e-01
5.632980499629628e+01 6.656971156777366e-01 7.144567269566435e-01
5.642099781642951e+01 7.293657054213555e-01 6.814686613054117e-01
5.651219063656274e+01 7.899130815068636e-01 6.460417802925330e-01
5.660338345669597e+01 8.471272221032552e-01 6.084031240622836e-01
5.669457627682920e+01 9.008165863474006e-01 5.687742742887583e-01
5.678576909696243e+01 9.508094751657943e-01 5.273683760637045e-01
5.687696191709566e+01 9.969531544732596e-01 4.843879063336600e-01
5.696815473722889e+01 1.039112808767193e+00 4.400231818262941e-01
5.705934755736212e+01 1.077170391050040e+00 3.944515691261883e-01
5.715054037749535e+01 1.111023430537538e+00 3.478373374498658e-01
5.724173319762858e+01 1.140583853481572e+00 3.003320804016092e-01
5.733292601776181e+01 1.165776865330094e+00 2.520756256228674e-01
5.742411883789504e+01 1.186539934933670e+00 2.031973494626194e-01
5.751531165802827e+01 1.202821914031168e+00 1.538178161169159e-01
5.760650447816150e+01 1.214582318112627e+00 1.040506656425821e-01
5.769769729829473e+01 1.221790788143383e+00 5.400468149656486e-02
5.778889011842796e+01 1.224426746603373e+00 3.785974639304155e-03
5.788008293856119e+01 1.222479255818534e+00 -4.649977314783459e-02
5.797127575869442e+01 1.215947081534290e+00 -9.674505991363794e-02
5.806246857882765e+01 1.204838959951305e+00 -1.468383590390831e-01
5.815366139896088e+01 1.189174061830701e+00 -1.966620102219678e-01
5.824485421909411e+01 1.168982642593616e+00 -2.460902583190031e-01
5.833604703922734e+01 1.144306862417897e+00 -2.949874958648631e-01
5.842723985936057e+01 1.115201755040378e+00 -3.432067697003088e-01
5.851843267949380e+01 1.081736318233442e+00 -3.905886171460158e-01
5.860962549962703e+01 1.043994692748246e+00 -4.369603015428485e-01
5.870081831976026e+01 1.002077390014904e+00 -4.821355195195960e-01
5.879201113989349e+01 9.561025222923074e-01 -5.259146516656912e-01
5.888320396002672e+01 9.062069826268296e-01 -5.680856229376579e-01
5.897439678015995e+01 8.525475163986309e-01 -6.084254277532420e-01
5.906558960029318e+01 7.953016220087997e-01 -6.467023562363690e-01
5.915678242042641e+01 7.346682160707537e-01 -6.826789318773023e-01
5.924797524055964e+01 6.708679990178869e-01 -7.161155371122129e-01
5.933916806069287e+01 6.041434609737115e-01 -7.467746631048431e-01
5.943036088082610e+01 5.347584755485104e-01 -7.744256755224173e-01
5.952155370095933e+01 4.629974411749628e-01 -7.988499426305781e-01
5.961274652109256e+01 3.891639455768888e-01 -8.198461298088117e-01
5.970393934122579e+01 3.135789484688965e-01 -8.372354303838314e-01
5.979513216135902e+01 2.365784996591174e-01 -8.508664812598040e-01
5.988632498149225e+01 1.585110330130005e-01 -8.606197072559764e-01
5.997751780162548e+01 7.973429956255527e-02 -8.664108529942076e-01
6.006871062175871e+01 6.120235881177105e-04 -8.681934962482032e-01
6.015990344189194e+01 -7.848961801770693e-02 -8.659603901528254e-01
6.025109626202517e+01 -1.572055818828460e-01 -8.597435495128363e-01
6.034228908215840e+01 -2.351754942718348e-01 -8.496130726502938e-01
6.043348190229163e+01 -3.120470244390924e-01 -8.356747676194739e-01
6.052467472242486e+01 -3.874789920708162e-01 -8.180667228345597e-01
6.061586754255809e+01 -4.611441212235127e-01 -7.969550206602222e-01
6.070706036269132e+01 -5.327313732872141e-01 -7.725288334618041e-01
6.079825318282455e+01 -6.019478144470205e-01 -7.449951624042542e-01
6.088944600295778e+01 -6.685199970237955e-01 -7.145734797524519e-01
6.098063882309101e+01 -7.321948571672484e-01 -6.814905175911058e-01
6.107183164322424e+01 -7.927401521427810e-01 -6.459754134667421e-01
6.116302446335747e+01 -8.499444777775906e-01 -6.082553811656357e-01
6.125421728349070e+01 -9.036169198386644e-01 -5.685520276534511e-01
6.134541010362393e+01 -9.535864019734298e-01 -5.270783897194968e-01
6.143660292375716e+01 -9.997007975057643e-01 -4.840367198655195e-01
6.152779574389039e+01 -1.041825873294511e+00 -4.396170131456540e-01
6.161898856402362e+01 -1.079844131670209e+00 -3.939962365461925e-01
6.171018138415685e+01 -1.113653611902033e+00 -3.473382005886522e-01
6.180137420429008e+01 -1.143166706449265e+00 -2.997939987925974e-01
6.189256702442331e+01 -1.168309040096364e+00 -2.515029334812115e-01
6.198375984455654e+01 -1.189018452527646e+00 -2.025938448208467e-01
6.207495266468977e+01 -1.205244117406647e+00 -1.531867624691966e-01
6.216614548482301e+01 -1.216945823890186e+00 -1.033948042906349e-01
6.225733830495624e+01 -1.224093439902440e+00 -5.332625293512267e-02
6.234853112508947e+01 -1.226666570480304e+00 -3.086747521804861e-03
6.243972394522270e+01 -1.224654419044315e+00 4.721846669185040e-02
6.253091676535593e+01 -1.218055854443779e+00 9.748228360446537e-02
6.262210958548916e+01 -1.206879681915567e+00 1.475935271961138e-01
6.271330240562239e+01 -1.191145111501177e+00 1.974348385367185e-01
6.280449522575562e+01 -1.170882412798517e+00 2.468807111218879e-01
6.289568804588885e+01 -1.146133740012094e+00 2.957957302846330e-01
6.298688086602208e+01 -1.116954105974395e+00 3.440330771106447e-01
6.307807368615531e+01 -1.083412478068722e+00 3.914333623597487e-01
6.316926650628854e+01 -1.045592962798174e+00 4.378238603504865e-01
6.326045932642177e+01 -1.003596039227945e+00 4.830182153701299e-01
6.335165214655500e+01 -9.575397949095641e-01 5.268166925429030e-01
6.344284496668823e+01 -9.075611115371836e-01 5.690070397762771e-01
6.353403778682146e+01 -8.538167419782619e-01 6.093660160405855e-01
6.362523060695469e+01 -7.964842160687998e-01 6.476616227235271e-01
6.371642342708792e+01 -7.357625103505890e-01 6.836560485403907e-01
6.380761624722115e+01 -6.718724174611924e-01 7.171093046164125e-01
6.389880906735438e+01 -6.050565548177349e-01 7.477834859907923e-01
6.399000188748761e+01 -5.355789600643431e-01 7.754475511218025e-01
6.408119470762090e+01 -4.637242327299653e-01 7.998824653047621e-01
6.417238752775420e+01 -3.897961975719010e-01 8.208865114899263e-01
6.426358034788750e+01 -3.141160846484481e-01 8.382805376052184e-01
6.435477316802080e+01 -2.370202433170857e-01 8.519128879413314e-01
6.444596598815410e+01 -1.588574307275965e-01 8.616637615327091e-01
6.453715880828740e+01 -7.998573829420444e-02 8.674487554343232e-01
6.462835162842070e+01 -7.692402541984410e-04 8.692213859943703e-01
6.471954444855400e+01 7.842553503231284e-02 8.669744349300481e-01
6.481073726868730e+01 1.572331994343253e-01 8.607400351441665e-01
6.490193008882061e+01 2.352930491412296e-01 8.505884877475979e-01
6.499312290895391e+01 3.122524453659827e-01 8.366258794696000e-01
6.508431572908721e+01 3.877699281759888e-01 8.189906411437936e-01
6.517550854922051e+01 4.615179755933431e-01 7.978492466817152e-01
6.526670136935381e+01 5.331853403112852e-01 7.733912930203617e-01
6.535789418948711e+01 6.024789194116215e-01 7.458242223514521e-01
6.544908700962041e+01 6.691251364656779e-01 7.153679483394564e-01
6.554027982975371e+01 7.328708385748910e-01 6.822496300609521e-01
6.563147264988702e+01 7.934837317411142e-01 6.466988047908958e-01
